comments
Fw
@Govinda Raol
.   ఫల
"Jai srikrishna , guruvu gariki padabhivandanam"
Hare krishna 🙏🏻🙏🏻🙏🏻.guru gari pada padmamuliki vandanam..
Punyam pandithe ituvantivi vintaaru bhaagyavanthulu
Om namo bhagavathe vasudevaya Om namo bhagavathe vasudevaya Om namo bhagavathe vasudevaya
Krishnam vande jagadgurum Krishnam vande jagadgurum Krishnam vande jagadgurum
Om Sri matre namaha Om Sri matre namaha Om Sri matre namaha
Om namah shivaya Om namah shivaya Om namah shivaya
Om namo Narayanaya Om namo Narayanaya Om namo Narayanaya
Hare Krishna hare Krishna Krishna Krishna hare hare hare Rama hare Rama Rama Rama hare hare 🙏🙏🙏
Hare Krishna hare Krishna Krishna Krishna hare hare hare Rama hare Rama Rama Rama hare hare 🙏🙏🙏
Hare Krishna hare Krishna Krishna Krishna hare hare hare Rama hare Rama Rama Rama hare hare 🙏🙏🙏
Hare Krishna hare Krishna Krishna Krishna hare hare hare Rama hare Rama Rama Rama hare hare 🙏🙏🙏
Hare Krishna
��🙏🙏
��🌷🙏🌹🙏
Meeku padabi vandanam guruu gari
��🙏🙏🙏🕉️🕉️🕉️
Please remove advertisements from the middle of the video.
��🙏🙏🙏🙏🌹🌹🌹🙏🙏🙏🙏🙏
Naaku okka mata raavatledu…. Dumb found….. Only tears flowing….🙏🙏
Hare Krishna hare Krishna Krishna Krishna hare hare Hare Rama hare Rama Rama Rama hare hare 🙏🙏🙏
Sri Krishna Sharanyam mama:
"Good. After Kurukshetra war, when the chariot of Arjuna was burnt making him surprised, it was Hanuman who appraised Arjuna that the chariot was already destroyed during the course of war but it remained undisturbed waiting for orders of Lord Krishna, as seen from an article. Bhagawan didn't talk about himself to have obstructed its destruction. That is Lord Krishna bhagawan. Great."
Guruvegarki padhabivandhanamulu 🙏🙏🙏🙏ma janma Dhanyam chesaru sir
��🙏🙏🙏🙏🙏🙏
Very nice pravachanam by chapati koteswararaogaru
Thirunallar shani temple https://youtube.com/shorts/wKVFCQS3RkA?feature=share
Namo krishna Namo krishna Namo Namahaa🙏🙏
