comments
Kct
Ede Tamil lanja.  Husband Telugu  robkumogudu modhi
Parakala 🐕🐕
worest govt ruled by bjp
ఎండ మావి నీరు తాగి గుందేమంతలర్పుకోకు
��🙏🙏
Chalu thalli e sari matram  miru vadhu amma దేశాని  nasanam chesesaru  Modi ko hatao deshko bachao
Congress come pls vote for congress
Donga lanjakoduka
Puku Naku
"Leave about central , what Telangana state is giving to middle class families and poor families??"
Asalu aah bjp ni dinchala  Bjp ko hatao desh ko bachao
Midil class  families  =   piskowadamey    pikadani   ki  emledu   akada
15 లాక్ కిదర్ హై...
జై బీజేపీ
ఆ బాష ఏంట్రా? 🤦🤦🤦 తెలంగాణ బాష పేరుతో తెలుగుని ఖుని చేస్తున్నారు కదరా... ఏ స్పష్టంగా మాట్లాడ లేరా తెలుగు... నోరుతిరగని తోలుమందం గాళ్ళు మాట్లాడే గలీజ్ బాష తెలంగాణ బాష అని తెలుగు బాష ని బ్రష్టు పట్టించకండి... 🙏🙏🙏
బీజేపీ జిందాబాద్ బానిసలకు బీజేపీ పార్టీ విలువ తెలీదు
Jai Hind Jai Modi ji 🙏
"Perigithayi anagane kachithanga perigithayi, thagguthayi annavi mathram assalu thaggavu... Adhe magiccu"
Eppudu chusiana lakhshyala kotle
India ki modala kalputhunaru
మొత్తం అబద్ధాలే అన్ని పెరుగుతాయి  పెరుగుడే తప్ప తగ్గేదే లే
Sollu thapa E budget lo Em ledhu Bjp kavalsindhi vallu chepina matalaku Bajana  chyali ledha Telangana paristhiti avuthadhi
Jio 5g vasthudi....
Puvvu party🏵
��👏👏
Where is Bandi Sanjay  Cheee BJP and rowdy sheaters in BJP  didnt question  central govt for the state Not even single rupee given to Telangana State what kind of Crap BJP?? What kind of justice BJP gonna do for Telangana State This clearly shows how bad BJP is....
Mom Sitharaman 👍  Bjp best 👍
Bjp ko hatao desh ku bachav
డూప్ మనుషులు
��😂😂😂😂😁😁😁😀😀😀😃😃😃😄😄😅😅😅😅😍😍😍😎😎😎😋😋😊😊😉😆😗😚🙂🤗🤩😏😏😶😐🤨🤔😆😂🤣😄😅😅😘🤩😅😅
E dongagala valla janalu nastapoturu
��🌹😁
Jai kcr
Budget for rich... india is rich country. 😂😂😂
Telangana ku budget lo okka rupaayi ivvakunna bayam tho prashnichaleni ChiJP nethalu manaku voddhu
ప్రజలు మింగకండ మోగ్గగుడపకుండ ఉంటే మాకు అదే చాలు మీరు కొత్తగా ఎం ఇవ్వనవసరం 🙏🙏🙏
Modi ki more more tappa emi radu
Denemma edo budget. Pachallu ammukune ame ki budget gurinchi em telusu. Anta dongalu. chinna rekula sheddu kuda kattaru chudu.
"Prajala chevi lo puvulu  pedthunnaru..  15 laks?, 2cr jobs,? Beti bachav..?, 5tri""GDP..?  SALE... Airindia, Lic, railway s, Airports,barath petroleum... .... ..."
Correct chaparu
Jai BSP
Weast  budget
Jai BJP 💪💪💪💪
Jai shree ram jai hanuman jai bjp 🚩
Corporate  budget
"@Sai Ghay india em ni sothu kadu okay matalu jagratta,  unemployment perigipotunte, uneducated matalu matladaku."
Noru mui. Pakistan putruda
Unemployment taggedi ledu
Anniti dharalu penchirru khachhithanga  sappatlu kottale 😅😅😅😅🤣🤣🤣👏👏👏👏👏
@Sai Ghay nuvvu yentha thopo neeku ardham ayithadi
@Sai Ghay nee adress cheppara
@Sai Ghay okka sari naku kanapadu nee mothabari antha kinda nunchi nedatha
@Shaik Gaffar pora pakistan
Gas petrol anni penchirru
Antha sodi
దేశ్ బచావో బీజేపీ హటావో
West government BJP
Exatly mayye
Shame on bjp government..😡😡🤬😡🤬😡
Jai bjp jai modi 🚩
Jai BJP 💪🚩
Adi petthanam bodi petthanam
E bjp budget valla mana Telangana ki aithe em osthale ..bochulo bjp
Okay brother Ane mundhu bjp em echindho cheppu
Jai bjp
Bochulo TRS party
Jai BJP 🙏🙏
@001praveen Naik true words
@sravan patel vallu fake id tho comment chese vallu bro vallaki bjp vallu 10000 istharu month ki
ఇతనికి మైండ్ లేదని అర్ధమవుతోంది
Asal em ochindhi ani jai bjp antunav
I want savithri
��🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🙏💐💐💐💐🌹💐
