comments
I am also sri chaitanya school only
Sahruda same nenu kudaa Sri chaitanya school but in guntakal 2 branch nuvu ya branch oo chappu plz
I am also studying in sri  chaitanya techno school
Same to same   Nenu Kuda na send class
Vary funny videos
Super sahruda
I am also Sri chaitanya school I am also 6th class
Can you show your home please
Ekada school skals 60 CM
Lekapedatham😉
I lake u
Sahruda nuvu  ayite anta exitement fill avutunnavo talusa acham donapotu  lake fill ayitunnav ambe ambe anutunnav
Sahurda fruity sister what is your school name
��👌👌👌
��👏👏👏👏👏
Anthaga baladhu
Iam also 7 th class
Sahruda I am also same school at same class but in nandyal
No
Leka petuta
I will do
Sahruda nuvvu a  school. Io. Join. Ayavu
laka padatha
A class Nv
Sahrudha I am also sri chaitanya school 7th class only in chilakaluripet
So funny  and  super
Iam also sir chaithya school in hnk kishanpura 😊same school drass and we are same class 😊
Me too
MA inti pakana una shop lo undi 60cm scale
Ekkada
lakha padatha lakha padhatha
Nenu pinlu count chesanu
Do you no jasleana
sahrudha yu are a which class you are studing
Script baa rasaru ... 😂
All the best fruity
Yes
I am in 9 the and this is your 7th class and this is all worse necessary things. Over acting fellows
School list 🤣😂😅😆
I am allso 7th class hema your really 7th class
Yes we will count
I also have same bag with me🎒
Lekkapedatha
Super vlogs sahruda
I am 5th class I keep counting on pins
Sri chaitanya school
ma intlo vunaru amma
School list 😂
Hi nenu 7 class me black top and red skirt
Leka pedathanu
Ma papa same
S😭😭
Lekkapedtha
I will count
They 60 scale
Daughter is just like you
You are so funny sahruda
sahruda ne water  bottle na water bottle same
Hey nenu kuda sri chaitanya school ee branch nuvu
లెక పెట్టారు చెల్లీ
Maro  sri chaithanya  badithurallu 🤣🤣 but nice vlog
In my shop 60cm scale will be selling
saharuda nu ya batch cbatch or techo or ipl in your school
Aunty aunty memo
Chandana dog is cute talk
I will cont
Nenu
Hii akka my school name is also Sri Chaitanya techno School
Wow. My school only and same uniform my also 2 paris
Lekkapedatha
"Nenu ma friend ,😃"
I am count Aunty
Overacting
Akkada Sri Chaitanya sister
Ma papa 7 class kani thanaki anni kalipi 1000rs lo konnanu kani me papa ki minimum 5000 avuthadhi anukunta
Lakka padatharu
Your 7th class aa but I think your 9th or 10th where r you in hyd
Hi sahurda I'm also 7th class
No
No aunty 😍😍😍😍😍😍
Jokes is super
Super  sahruda  your acting 👌
Nenu sri Chaitanya school
I am book📕📕 20
Yes I cout
Have in demete
60 cm scale
60
Super  Super cool
lekapdu pedutha
Me
Extodnery full of comedy sahruda🤣🤣
I will count
Sahruda super
Nice vlog
Your school names which
G a result is not possible to be in the meeting and I am not in the meeting and y the device r the meeting is on the way u can do it and we are not able and I have to get it at the meeting is ended by the meeting and I will be able to attend the meeting is not possible to get the meeting is on the meeting is not a result of a result is not a good day of the same as the same is on the same you will get to get a result and we can do it at home or not able to do it and we are planning for the device in the meeting y the same as we are going on and I am not in the meeting you are not able able to do any issues as we are in the device in india for the device and I am not w and I am not w and we are in our office is an other and the device has sent a mail of you and I have the meeting was on the same as you have to do it at the meeting is due on Monday and I have a good day is h a result is not able to be in your r as a result of a meeting is on the way to get it at your end and I am in the past I am not w and we are not able to be able to do any of the meeting and I am unable to get the same hy the meeting is not possible to get it at your end as a result has sent you the meeting is on the meeting is not yet received the meeting is on leave ☺️😁 the meeting is on the same as the meeting is on the same as the meeting and I am not w and we will be in the meeting is not possible to have a result is a result of the meeting is on Monday as I can do and we are not able to be in the meeting and I am also a good to get a result and we can be the same as the meeting is not able and oo is a resulgood the same as the same as of the same is not able and we have a good day to get every one of the same as a day of your r as well as you are not able able to do it and I am not w to get it at 🏫 scool
Hi sahruda fruity akka how are u
Lekkapedataru😁
aunty me aamayi shop petesaendhe
Akka nadi kuda Sri Chaitanya school
��😂😂😂😂😂😂😂😂😂😂😂
Super hima navvu navvu best
Super
All the best Sahruda
Ala lakapartharu I am
Iam also sri chaitanya
Iam also seventh which school ur
Sahrude  my name is manaswini you big fan
My sister is a Sri Chaitanya theraci
Me mother chala silent ga unnaru...nuvvu matram ralipothunav....Nuvvu ne overaction... Me mother ee anesaru..chale overaction ani...18:22 saduvu takkuva buildup ekkuva la undi...tagginchukutey degree varaku iyna velthav..lekapotey subject lu unchesthav...tennaga chaduvuko Mundu.
Haa sahurdha your school my school same sri chaitanya
60 cm enteyyy 😂 bale chepparu
R u machrued
Hi I am Asmita I am also studying 7th class
And don't tell the you are an actor when you will call I will tell in that otherwise my father will shock
Nuvu manchipani chesavi nenu Sri Chaitanya school 7 th class
Wich class
Aa school mari
Lekka pedata lekka pedata lekka pedata lekka pedata nu friend
Lekka pedutha
I love you darling school dress kosam
Sahruda total cost
May be fruti edo class lo fail anukunta chudadaniki 9th la kanipistundi kani 7th anta😂
Pins lekkapedatha baby nenu
Sahruda nuvu nijangaa tingarabujji vii
Ok
Mysore
Lekka pettali
is she in c batch? or techno
Akada miru undedhi sahruda....
Lekka pedatharu
Lekapedatha
I am also studying ni Sri Chaitanya.7 class
I am also Same school but different branch but you c-batch or techno in school
Hi hima 🤗
rajamundry The park international school
same nenu sri chaitanya
Sahurda
Send adder s in comments
https://youtu.be/h5z18eKuf3M
Nenu kudaa 7 th class sri chaitanya techno
lalitha is one 😊😊😊🎀
Shradha your video super
I love hima
Haa lekapetutham
"Sahruda, I am also 7th class"
Laka padata  Laka padata  Laka padata
Unnarandi same problem..
Lekkapedatha
Abbadhama
Oka program lo nuvvu me daddy leru annav
Mana middhram friend s
Nenu lekka bedatha hima reply
Which class
Ma inti daggara shop lo 60cm scale undhi kavala 😂
Over action tinnadi aragaka
Me super
Sahruda iam your dad nenu chanipoledu ne reels chusthu kuli pani chesthunna pls reply na bangaru talli pls reply amma
Na bangaram em chesthunnavu talli
Number send chey amma
Sahrudafruity  meru ribbon 🎀  marchipoyaru
Lekha pedthaa
I will count
Mam 7th class notebooks are16 to17 mam
I am also Sri Chaitanya School 😀
Sahuruda nuvu  a class
Pins ni count chestha
Sharudha memu lena pettutham  shorts kuda baguntaye
Lena kadu lakapettadam sorry
లెక్క పెడతాం లెక్క పెడతాం
Lekkapedatham
Hi
Lekka pedatha lekka pedata pins 🤭🤭🤭🤭🤭😜😜😜😜😜😜🤭
Leka pedataru
Hi ❤☺🥰🍩
Hi
Lekapedataru
A class nuvv
Tension ke prakar
